Date: 20190221, day_night: 1, strategy: None

serial_no: 10000000100, symbol: PB3M, ord_price: 2032.0, ord_volume: 1, open_close: 0, direction: 1, order_type: 0, investor_type: 0, trd_price: 0.000000, trd_volume: 0, entrust_status: s, msg_type: [order_request]
serial_no: 10000000100, symbol: PB3M, ord_price: 2032.0, ord_volume: 1, open_close: 0, direction: 1, order_type: 0, investor_type: 0, trd_price: 0.000000, trd_volume: 0, entrust_status: a, msg_type: [order_response]
serial_no: 10000000100, symbol: PB3M, ord_price: 2032.0, ord_volume: 1, open_close: 0, direction: 1, order_type: 0, investor_type: 0, trd_price: 0.000000, trd_volume: 0, entrust_status: f, msg_type: [cancel_request]
serial_no: 10000000100, symbol: PB3M, ord_price: 2032.0, ord_volume: 1, open_close: 0, direction: 1, order_type: 0, investor_type: 0, trd_price: 2032.000000, trd_volume: 0, entrust_status: d, msg_type: [cancel_response]
serial_no: 30000000100, symbol: PB3M, ord_price: 2031.0, ord_volume: 1, open_close: 0, direction: 1, order_type: 0, investor_type: 0, trd_price: 0.000000, trd_volume: 0, entrust_status: s, msg_type: [order_request]
serial_no: 30000000100, symbol: PB3M, ord_price: 2031.0, ord_volume: 1, open_close: 0, direction: 1, order_type: 0, investor_type: 0, trd_price: 0.000000, trd_volume: 0, entrust_status: a, msg_type: [order_response]
serial_no: 30000000100, symbol: PB3M, ord_price: 2031.0, ord_volume: 1, open_close: 0, direction: 1, order_type: 0, investor_type: 0, trd_price: 0.000000, trd_volume: 0, entrust_status: f, msg_type: [cancel_request]
serial_no: 30000000100, symbol: PB3M, ord_price: 2031.0, ord_volume: 1, open_close: 0, direction: 1, order_type: 0, investor_type: 0, trd_price: 2031.000000, trd_volume: 0, entrust_status: d, msg_type: [cancel_response]
serial_no: 50000000100, symbol: PB3M, ord_price: 2030.5, ord_volume: 1, open_close: 0, direction: 1, order_type: 0, investor_type: 0, trd_price: 0.000000, trd_volume: 0, entrust_status: s, msg_type: [order_request]
serial_no: 50000000100, symbol: PB3M, ord_price: 2030.5, ord_volume: 1, open_close: 0, direction: 1, order_type: 0, investor_type: 0, trd_price: 0.000000, trd_volume: 0, entrust_status: a, msg_type: [order_response]
serial_no: 50000000100, symbol: PB3M, ord_price: 2030.5, ord_volume: 1, open_close: 0, direction: 1, order_type: 0, investor_type: 0, trd_price: 0.000000, trd_volume: 0, entrust_status: f, msg_type: [cancel_request]
serial_no: 50000000100, symbol: PB3M, ord_price: 2030.5, ord_volume: 1, open_close: 0, direction: 1, order_type: 0, investor_type: 0, trd_price: 2030.500000, trd_volume: 0, entrust_status: d, msg_type: [cancel_response]
serial_no: 70000000100, symbol: PB3M, ord_price: 2032.0, ord_volume: 1, open_close: 0, direction: 1, order_type: 0, investor_type: 0, trd_price: 0.000000, trd_volume: 0, entrust_status: s, msg_type: [order_request]
serial_no: 70000000100, symbol: PB3M, ord_price: 2032.0, ord_volume: 1, open_close: 0, direction: 1, order_type: 0, investor_type: 0, trd_price: 0.000000, trd_volume: 0, entrust_status: a, msg_type: [order_response]
serial_no: 70000000100, symbol: PB3M, ord_price: 2032.0, ord_volume: 1, open_close: 0, direction: 1, order_type: 0, investor_type: 0, trd_price: 0.000000, trd_volume: 0, entrust_status: f, msg_type: [cancel_request]
serial_no: 70000000100, symbol: PB3M, ord_price: 2032.0, ord_volume: 1, open_close: 0, direction: 1, order_type: 0, investor_type: 0, trd_price: 2032.000000, trd_volume: 0, entrust_status: d, msg_type: [cancel_response]
serial_no: 90000000100, symbol: PB3M, ord_price: 2031.5, ord_volume: 1, open_close: 0, direction: 1, order_type: 0, investor_type: 0, trd_price: 0.000000, trd_volume: 0, entrust_status: s, msg_type: [order_request]
serial_no: 90000000100, symbol: PB3M, ord_price: 2031.5, ord_volume: 1, open_close: 0, direction: 1, order_type: 0, investor_type: 0, trd_price: 0.000000, trd_volume: 0, entrust_status: a, msg_type: [order_response]
serial_no: 90000000100, symbol: PB3M, ord_price: 2031.5, ord_volume: 1, open_close: 0, direction: 1, order_type: 0, investor_type: 0, trd_price: 0.000000, trd_volume: 0, entrust_status: f, msg_type: [cancel_request]
serial_no: 90000000100, symbol: PB3M, ord_price: 2031.5, ord_volume: 1, open_close: 0, direction: 1, order_type: 0, investor_type: 0, trd_price: 2031.500000, trd_volume: 0, entrust_status: d, msg_type: [cancel_response]
serial_no: 110000000100, symbol: PB3M, ord_price: 2031.0, ord_volume: 1, open_close: 0, direction: 1, order_type: 0, investor_type: 0, trd_price: 0.000000, trd_volume: 0, entrust_status: s, msg_type: [order_request]
serial_no: 110000000100, symbol: PB3M, ord_price: 2031.0, ord_volume: 1, open_close: 0, direction: 1, order_type: 0, investor_type: 0, trd_price: 0.000000, trd_volume: 0, entrust_status: a, msg_type: [order_response]
serial_no: 110000000100, symbol: PB3M, ord_price: 2031.0, ord_volume: 1, open_close: 0, direction: 1, order_type: 0, investor_type: 0, trd_price: 0.000000, trd_volume: 0, entrust_status: f, msg_type: [cancel_request]
serial_no: 110000000100, symbol: PB3M, ord_price: 2031.0, ord_volume: 1, open_close: 0, direction: 1, order_type: 0, investor_type: 0, trd_price: 2031.000000, trd_volume: 0, entrust_status: d, msg_type: [cancel_response]
serial_no: 130000000100, symbol: PB3M, ord_price: 2030.5, ord_volume: 1, open_close: 0, direction: 1, order_type: 0, investor_type: 0, trd_price: 0.000000, trd_volume: 0, entrust_status: s, msg_type: [order_request]
serial_no: 130000000100, symbol: PB3M, ord_price: 2030.5, ord_volume: 1, open_close: 0, direction: 1, order_type: 0, investor_type: 0, trd_price: 0.000000, trd_volume: 0, entrust_status: a, msg_type: [order_response]
serial_no: 130000000100, symbol: PB3M, ord_price: 2030.5, ord_volume: 1, open_close: 0, direction: 1, order_type: 0, investor_type: 0, trd_price: 2030.500000, trd_volume: 1, entrust_status: c, msg_type: [trade_rtn]
serial_no: 140000000100, symbol: pb1905, ord_price: 16790.0, ord_volume: 4, open_close: 0, direction: 0, order_type: 0, investor_type: 0, trd_price: 0.000000, trd_volume: 0, entrust_status: s, msg_type: [order_request]
serial_no: 140000000100, symbol: pb1905, ord_price: 16790.0, ord_volume: 4, open_close: 0, direction: 0, order_type: 0, investor_type: 0, trd_price: 0.000000, trd_volume: 0, entrust_status: a, msg_type: [order_response]
serial_no: 140000000100, symbol: pb1905, ord_price: 16790.0, ord_volume: 4, open_close: 0, direction: 0, order_type: 0, investor_type: 0, trd_price: 0.000000, trd_volume: 0, entrust_status: f, msg_type: [cancel_request]
serial_no: 140000000100, symbol: pb1905, ord_price: 16790.0, ord_volume: 4, open_close: 0, direction: 0, order_type: 0, investor_type: 0, trd_price: 16790.000000, trd_volume: 0, entrust_status: d, msg_type: [cancel_response]
serial_no: 160000000100, symbol: pb1905, ord_price: 16800.0, ord_volume: 4, open_close: 0, direction: 0, order_type: 0, investor_type: 0, trd_price: 0.000000, trd_volume: 0, entrust_status: s, msg_type: [order_request]
serial_no: 160000000100, symbol: pb1905, ord_price: 16800.0, ord_volume: 4, open_close: 0, direction: 0, order_type: 0, investor_type: 0, trd_price: 0.000000, trd_volume: 0, entrust_status: a, msg_type: [order_response]
serial_no: 160000000100, symbol: pb1905, ord_price: 16800.0, ord_volume: 4, open_close: 0, direction: 0, order_type: 0, investor_type: 0, trd_price: 16800.000000, trd_volume: 1, entrust_status: p, msg_type: [trade_rtn]
serial_no: 160000000100, symbol: pb1905, ord_price: 16800.0, ord_volume: 4, open_close: 0, direction: 0, order_type: 0, investor_type: 0, trd_price: 0.000000, trd_volume: 0, entrust_status: f, msg_type: [cancel_request]
serial_no: 160000000100, symbol: pb1905, ord_price: 16800.0, ord_volume: 4, open_close: 0, direction: 0, order_type: 0, investor_type: 0, trd_price: 16800.000000, trd_volume: 0, entrust_status: d, msg_type: [cancel_response]
serial_no: 180000000100, symbol: pb1905, ord_price: 16810.0, ord_volume: 3, open_close: 0, direction: 0, order_type: 0, investor_type: 0, trd_price: 0.000000, trd_volume: 0, entrust_status: s, msg_type: [order_request]
serial_no: 180000000100, symbol: pb1905, ord_price: 16810.0, ord_volume: 3, open_close: 0, direction: 0, order_type: 0, investor_type: 0, trd_price: 0.000000, trd_volume: 0, entrust_status: a, msg_type: [order_response]
serial_no: 180000000100, symbol: pb1905, ord_price: 16810.0, ord_volume: 3, open_close: 0, direction: 0, order_type: 0, investor_type: 0, trd_price: 0.000000, trd_volume: 0, entrust_status: f, msg_type: [cancel_request]
serial_no: 180000000100, symbol: pb1905, ord_price: 16810.0, ord_volume: 3, open_close: 0, direction: 0, order_type: 0, investor_type: 0, trd_price: 16810.000000, trd_volume: 0, entrust_status: d, msg_type: [cancel_response]
serial_no: 200000000100, symbol: pb1905, ord_price: 16820.0, ord_volume: 3, open_close: 0, direction: 0, order_type: 0, investor_type: 0, trd_price: 0.000000, trd_volume: 0, entrust_status: s, msg_type: [order_request]
serial_no: 200000000100, symbol: pb1905, ord_price: 16820.0, ord_volume: 3, open_close: 0, direction: 0, order_type: 0, investor_type: 0, trd_price: 0.000000, trd_volume: 0, entrust_status: a, msg_type: [order_response]
serial_no: 200000000100, symbol: pb1905, ord_price: 16820.0, ord_volume: 3, open_close: 0, direction: 0, order_type: 0, investor_type: 0, trd_price: 16820.000000, trd_volume: 1, entrust_status: p, msg_type: [trade_rtn]
serial_no: 200000000100, symbol: pb1905, ord_price: 16820.0, ord_volume: 3, open_close: 0, direction: 0, order_type: 0, investor_type: 0, trd_price: 16820.000000, trd_volume: 2, entrust_status: c, msg_type: [trade_rtn]
serial_no: 210000000100, symbol: PB3M, ord_price: 2028.5, ord_volume: 1, open_close: 1, direction: 0, order_type: 0, investor_type: 0, trd_price: 0.000000, trd_volume: 0, entrust_status: s, msg_type: [order_request]
serial_no: 210000000100, symbol: PB3M, ord_price: 2028.5, ord_volume: 1, open_close: 1, direction: 0, order_type: 0, investor_type: 0, trd_price: 0.000000, trd_volume: 0, entrust_status: a, msg_type: [order_response]
