Date,context.product_china_bid,context.product_china_ask,context.product_abroad_bid,context.product_abroad_ask,product_currency_bid,product_currency_ask,product_arbitrage_price_bid,product_arbitrage_price_ask,product_arbitrage_price
2019.02.21D23:20:10.500,16810,16820,2028.5,2031.0,6.4982499050140365,6.498349905014037,-1115.3000676790234,-1090.3513429164886,-1102.8257677977563
2019.02.21D23:21:00.000,16810,16820,2029.5,2031.0,6.498400108718872,6.498500108718872,-1108.496979355048,-1090.0462791919708,-1099.2716667735094
2019.02.21D23:22:06.000,16810,16820,2029.5,2031.0,6.498400108718872,6.498500108718872,-1108.496979355048,-1090.0462791919708,-1099.2716667735094
2019.02.21D23:23:00.000,16810,16830,2029.5,2031.0,6.498850004577638,6.498950004577638,-1116.0839157096852,-1089.1325407028198,-1102.6082657062525
2019.02.21D23:24:00.000,16810,16820,2031.5,2033.0,6.499150411987305,6.499250411987305,-1093.9759380477901,-1075.5239124298096,-1084.7499627388006
2019.02.21D23:25:01.000,16820,16830,2031.5,2033.0,6.4988492893219005,6.4989492893218985,-1103.0876687425607,-1084.6360948085783,-1093.8619192755705
2019.02.21D23:26:01.000,16820,16830,2031.5,2033.5,6.498850004577638,6.498950004577638,-1103.0862157005304,-1081.3851656913755,-1092.2357406959527
2019.02.21D23:27:00.000,16820,16830,2031.5,2033.5,6.49870051612854,6.49880051612854,-1103.3899014848703,-1081.6891504526136,-1092.5395759687417
2019.02.21D23:28:01.500,16820,16830,2032.5,2034.5,6.4992999004364025,6.499399900436401,-1095.6729523630127,-1073.9709025621414,-1084.8219774625777
2019.02.21D23:29:00.000,16820,16830,2032.5,2034.5,6.4992999004364025,6.499399900436401,-1095.6729523630127,-1073.9709025621414,-1084.8219774625777
2019.02.21D23:30:00.000,16820,16830,2033.5,2035.0,6.499899284744263,6.499999284744263,-1087.9548044725416,-1069.5014555454254,-1078.7281675089837
2019.02.21D23:31:00.000,16820,16840,2033.5,2035.0,6.499300615692139,6.499400615692139,-1097.6721979900358,-1070.7197470664978,-1084.1960100282668
2019.02.21D23:32:02.000,16820,16840,2033.0,2034.0,6.500050203704834,6.500150203704834,-1099.3979358680715,-1075.6944856643677,-1087.54623576622
2019.02.21D23:33:23.000,16820,16840,2031.5,2033.0,6.500500099563599,6.500600099563599,-1108.2340477365487,-1081.279997587204,-1094.7570601618772
2019.02.21D23:34:00.500,16820,16830,2031.5,2033.0,6.500949995422364,6.501049995422362,-1098.8200842994684,-1080.3653593063354,-1089.5927593029028
2019.02.21D23:35:00.000,16820,16830,2030.5,2031.5,6.4999,6.5,-1107.45305,-1092.25,-1099.8515499999994
2019.02.21D23:36:00.000,16820,16830,2031.0,2033.0,6.4996003078460705,6.4997003078460684,-1104.811774764632,-1083.109274148941,-1093.9605744567868
2019.02.21D23:37:02.000,16820,16830,2033.0,2034.5,6.500200407409668,6.500300407409668,-1090.5925717361442,-1072.1388211250303,-1081.3657339305882
2019.02.21D23:38:04.500,16820,16830,2033.0,2034.5,6.5007997917175295,6.500899791717528,-1089.3740234382622,-1070.9193737506866,-1080.1467360944753
2019.02.21D23:39:04.000,16820,16830,2033.0,2034.5,6.500800506973268,6.5009005069732675,-1089.3725693233482,-1070.9179185628889,-1080.1452814431198
2019.02.21D23:40:05.500,16820,16830,2033.0,2034.5,6.501399891281128,6.501499891281128,-1088.154021025466,-1069.6984711885452,-1078.9262836070068
2019.02.21D23:41:00.000,16810,16830,2033.0,2034.5,6.5007997917175295,6.500899791717528,-1089.3740234382622,-1062.4193737506866,-1075.8967360944753
2019.02.21D23:42:00.500,16810,16830,2033.0,2034.0,6.5007997917175295,6.500899791717528,-1089.3740234382622,-1065.6698236465454,-1077.521948542404
2019.02.21D23:43:09.000,16810,16830,2033.0,2034.0,6.500650303268433,6.500750303268433,-1089.6779334552755,-1065.973883152008,-1077.8259333036422
2019.02.21D23:44:02.000,16810,16830,2032.0,2032.5,6.5007997917175295,6.500899791717528,-1095.8748232299804,-1075.4211733341215,-1085.6480107820516
2019.02.21D23:45:00.500,16810,16830,2033.0,2034.0,6.500949995422364,6.501049995422362,-1089.0686593063347,-1065.3643093109129,-1077.2165093086242
2019.02.21D23:46:01.000,16820,16830,2035.5,2036.0,6.500349895858765,6.500449895858765,-1074.0377869794847,-1062.0840120315552,-1068.0609120055196
2019.02.21D23:47:08.000,16820,16830,2035.5,2036.5,6.500350611114503,6.500450611114503,-1074.0363310764317,-1058.8323304653168,-1066.4343557708744
2019.02.21D23:48:00.000,16820,16830,2037.0,2038.0,6.500500099563599,6.500600099563599,-1063.9812971889496,-1048.776997089386,-1056.3791721391678
2019.02.21D23:49:03.000,16820,16830,2038.0,2038.5,6.501249687576294,6.501349687576294,-1055.9531367195123,-1043.9986618757248,-1049.9759117976193
2019.02.21D23:50:01.000,16820,16830,2037.5,2038.0,6.501249687576294,6.501349687576294,-1059.2037615632996,-1047.249336719513,-1053.2265616414059
2019.02.21D23:51:11.500,16820,16830,2036.0,2037.0,6.500949280166626,6.501049280166626,-1069.5672655807484,-1054.3626163005827,-1061.964965940666
